RESOURCE,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR
Myrcia laxiflora,8,7.6,NA,NA,Euphonia pectoralis,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Euphonia pectoralis,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Euphonia pectoralis,0.5
Myrsine ferruginea,3,NA,NA,NA,Euphonia pectoralis,0.5
Myrsine venosa,4.9,5,NA,4.2,Euphonia pectoralis,0.5
Ossaea angustifolia,5.2,4.2,NA,NA,Euphonia pectoralis,0.5
Ossaea marginata,4.9,4.4,NA,NA,Euphonia pectoralis,0.5
Psidium cattleyanum,32.4,31,4,2.5,Euphonia pectoralis,1
Psidium guajava,59.4,57,4.7,3.5,Euphonia pectoralis,0.5
Psychotria carthagenensis,5.2,5.5,5,4.3,Euphonia pectoralis,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Euphonia pectoralis,0.5
Psychotria leiocarpa,8,9,3,2.4,Euphonia pectoralis,0.5
Psychotria myriantha,5.4,6.2,4,3,Euphonia pectoralis,0.5
Psychotria nuda,8.7,7,NA,NA,Euphonia pectoralis,0.5
Psychotria suterella,11,13,4,3,Euphonia pectoralis,0.5
Psychotria vellosiana,0.4,3.7,NA,NA,Euphonia pectoralis,1
Rhipsalis baccifera,5.84,5.79,1.09,0.58,Euphonia pectoralis,0.5
Rhipsalis floccosa,6,5,1.2,0.6,Euphonia pectoralis,0.5
Rhipsalis pachyptera,7.62,8.36,1.05,0.52,Euphonia pectoralis,0.5
Rhipsalis puniceodiscus,5.94,7.05,1.47,0.71,Euphonia pectoralis,0.5
Rhipsalis teres,4.51,4.49,1.02,0.56,Euphonia pectoralis,1
Sloanea guianensis,20,20,10,6,Euphonia pectoralis,1
Sloanea monosperma,12,10,7,4,Euphonia pectoralis,0.5
Trema micrantha,3.5,2.7,2,1.7,Euphonia pectoralis,1
Urera baccifera,5,4.3,2,2,Euphonia pectoralis,1
Urera caracasana,4.7,3.5,NA,NA,Euphonia pectoralis,0.5
Urera mitis,3.5,2.5,1,0.8,Euphonia pectoralis,0.5
Anthurium scandens,6,6,2,1,Euphonia violacea,0.75
Cecropia glaziovii,230,12.62,2,0.62,Euphonia violacea,1
Cecropia hololeuca,230,20.58,2.9,0.98,Euphonia violacea,0.5
Cecropia pachystachya,200,10,2,0.61,Euphonia violacea,0.5
Eriobotrya japonica,30,23,13,11,Euphonia violacea,1
Euterpe edulis,12.8,12.46,11.7,10,Euphonia violacea,1
Ficus catappifolia,32,23,1,0.5,Euphonia violacea,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Euphonia violacea,0.5
Ficus cyclophylla,14,12,1.4,1.2,Euphonia violacea,0.5
Ficus enormis,14,14,1.2,1,Euphonia violacea,1
Ficus glabra,16.6,18,1,0.5,Euphonia violacea,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Euphonia violacea,0.5
Ficus hirsuta,7,6,0.5,0.3,Euphonia violacea,1
Ficus insipida,17,20,2.8,1.7,Euphonia violacea,0.5
Ficus microcarpa,10,8,0.9,0.7,Euphonia violacea,0.5
Ficus organensis,8,7,0.7,0.7,Euphonia violacea,0.5
Ficus pertusa,8,8,1.1,1.1,Euphonia violacea,0.5
Ficus pulchella,17.93,18,0.8,0.7,Euphonia violacea,0.5
Guapira opposita,6.95,6.53,6.1,3.84,Euphonia violacea,1
Ixora gardneriana,8,6,5,4,Euphonia violacea,0.5
Lantana camara,6,6,5,3,Euphonia violacea,0.5
Marlierea cf.excoriata,9.76,2,9.7,9.85,Euphonia violacea,0.5
Marlierea clausseniana,9.1,8.3,NA,NA,Euphonia violacea,0.5
Marlierea edulis,35,37,23,17,Euphonia violacea,0.5
Marlierea obscura,11,14,9,7,Euphonia violacea,1
Marlierea regeliana,22,23,16,12,Euphonia violacea,0.5
Marlierea tomentosa,8.4,8.5,5.94,11.4,Euphonia violacea,0.5
Miconia brasiliensis,2.6,3,NA,1,Euphonia violacea,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Euphonia violacea,0.5
Miconia chartacea,3.3,4,3.3,3.1,Euphonia violacea,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Euphonia violacea,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Euphonia violacea,1
Miconia inconspicua,3.6,3,1,0.85,Euphonia violacea,0.5
Miconia latecrenata,1.9,2.3,1,1,Euphonia violacea,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Euphonia violacea,1
Miconia pusilliflora,4.5,4.5,2.7,1.6,Euphonia violacea,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Euphonia violacea,0.5
Miconia staminea,6.3,6,NA,NA,Euphonia violacea,0.5
Miconia theizans,5,4,0.7,0.4,Euphonia violacea,0.5
Miconia tristis,3.4,3.6,1,1,Euphonia violacea,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Euphonia violacea,0.5
Myrsine ferruginea,3,NA,NA,NA,Euphonia violacea,0.5
Myrsine venosa,4.9,5,NA,4.2,Euphonia violacea,0.5
Phoradendron crassifolium,3,2,1.7,1.1,Euphonia violacea,1
Piper aduncum,166,6,0.84,0.34,Euphonia violacea,0.5
Piper arboreum,120,10,NA,NA,Euphonia violacea,0.5
Piper gaudichaudianum,100,6,1,0.8,Euphonia violacea,0.5
Protium heptaphyllum,17.26,10.76,9.23,7.5,Euphonia violacea,1
Psidium cattleyanum,32.4,31,4,2.5,Euphonia violacea,0.5
Psidium guajava,59.4,57,4.7,3.5,Euphonia violacea,1
Rhipsalis baccifera,5.84,5.79,1.09,0.58,Euphonia violacea,0.5
Rhipsalis floccosa,6,5,1.2,0.6,Euphonia violacea,0.5
Rhipsalis pachyptera,7.62,8.36,1.05,0.52,Euphonia violacea,0.5
Rhipsalis puniceodiscus,5.94,7.05,1.47,0.71,Euphonia violacea,0.5
Rhipsalis teres,4.51,4.49,1.02,0.56,Euphonia violacea,0.5
Schinus terebinthifolius,6,6,3.5,3.5,Euphonia violacea,1
Solanum americanum,6,6.2,1.4,1,Euphonia violacea,0.5
Solanum argenteum,20,11,2.2,2,Euphonia violacea,0.5
Solanum caavurana,15,10,2.5,2,Euphonia violacea,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Euphonia violacea,0.5
Sorocea bonpplandii,11,9.1,9,7,Euphonia violacea,1
Sorocea guilleminiana,15.7,14.3,5.8,8.29,Euphonia violacea,0.5
Tapirira guianensis,16,11.6,6.9,8.15,Euphonia violacea,1
Solanum americanum,6,6.2,1.4,1,Euphonia xanthogaster,0.5
Solanum argenteum,20,11,2.2,2,Euphonia xanthogaster,0.5
Solanum caavurana,15,10,2.5,2,Euphonia xanthogaster,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Euphonia xanthogaster,0.5
Trema micrantha,3.5,2.7,2,1.7,Geothlypis aequinoctialis,1
Cecropia glaziovii,230,12.62,2,0.62,Glossophaga soricinea,1
Cecropia hololeuca,230,20.58,2.9,0.98,Glossophaga soricinea,0.5
Cecropia pachystachya,200,10,2,0.61,Glossophaga soricinea,1
Ficus catappifolia,32,23,1,0.5,Glossophaga soricinea,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Glossophaga soricinea,0.5
Ficus cyclophylla,14,12,1.4,1.2,Glossophaga soricinea,0.5
Ficus enormis,14,14,1.2,1,Glossophaga soricinea,0.5
Ficus glabra,16.6,18,1,0.5,Glossophaga soricinea,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Glossophaga soricinea,0.5
Ficus hirsuta,7,6,0.5,0.3,Glossophaga soricinea,0.5
Ficus insipida,17,20,2.8,1.7,Glossophaga soricinea,0.75
Ficus microcarpa,10,8,0.9,0.7,Glossophaga soricinea,0.5
Ficus organensis,8,7,0.7,0.7,Glossophaga soricinea,0.5
Ficus pertusa,8,8,1.1,1.1,Glossophaga soricinea,0.5
Ficus pulchella,17.93,18,0.8,0.7,Glossophaga soricinea,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Glossophaga soricinea,1
Musa paradisiaca,120,30,NA,4,Glossophaga soricinea,1
Piper aduncum,166,6,0.84,0.34,Glossophaga soricinea,1
Piper arboreum,120,10,NA,NA,Glossophaga soricinea,1
Piper gaudichaudianum,100,6,1,0.8,Glossophaga soricinea,0.5
Psidium cattleyanum,32.4,31,4,2.5,Glossophaga soricinea,0.5
Psidium guajava,59.4,57,4.7,3.5,Glossophaga soricinea,1
Solanum americanum,6,6.2,1.4,1,Glossophaga soricinea,0.5
Solanum argenteum,20,11,2.2,2,Glossophaga soricinea,0.5
Solanum caavurana,15,10,2.5,2,Glossophaga soricinea,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Glossophaga soricinea,0.5
Casearia aculeata,7.7,7.5,NA,NA,Guira guira,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Guira guira,0.5
Casearia pauciflora,29,28,8,7,Guira guira,0.5
Casearia sylvestris,3,3,2,1.3,Guira guira,0.5
Allophylus edulis,8.73,7.86,7.69,5.74,Habia rubica,1
Cupania oblongifolia,28.29,11,11.8,9.7,Habia rubica,0.5
Ficus catappifolia,32,23,1,0.5,Habia rubica,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Habia rubica,0.5
Ficus cyclophylla,14,12,1.4,1.2,Habia rubica,0.5
Ficus enormis,14,14,1.2,1,Habia rubica,0.5
Ficus glabra,16.6,18,1,0.5,Habia rubica,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Habia rubica,0.5
Ficus hirsuta,7,6,0.5,0.3,Habia rubica,0.5
Ficus insipida,17,20,2.8,1.7,Habia rubica,0.5
Ficus microcarpa,10,8,0.9,0.7,Habia rubica,0.5
Ficus organensis,8,7,0.7,0.7,Habia rubica,0.5
Ficus pertusa,8,8,1.1,1.1,Habia rubica,0.5
Ficus pulchella,17.93,18,0.8,0.7,Habia rubica,0.5
Geonoma elegans,10,10,NA,NA,Habia rubica,0.5
Geonoma pohliana,9,9,7.5,7.5,Habia rubica,0.5
Geonoma schottiana,10,8,NA,NA,Habia rubica,0.5
Leandra acutiflora,6.4,5.5,NA,NA,Habia rubica,1
Leandra dasytricha,5.1,NA,NA,NA,Habia rubica,0.5
Leandra melastomoides,9.3,7.5,NA,1,Habia rubica,1
Leandra variabilis,4.2,3.2,NA,1,Habia rubica,1
Miconia brasiliensis,2.6,3,NA,1,Habia rubica,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Habia rubica,0.5
Miconia chartacea,3.3,4,3.3,3.1,Habia rubica,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Habia rubica,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Habia rubica,0.5
Miconia inconspicua,3.6,3,1,0.85,Habia rubica,0.5
Miconia latecrenata,1.9,2.3,1,1,Habia rubica,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Habia rubica,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Habia rubica,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Habia rubica,0.5
Miconia staminea,6.3,6,NA,NA,Habia rubica,0.5
Miconia theizans,5,4,0.7,0.4,Habia rubica,0.5
Miconia tristis,3.4,3.6,1,1,Habia rubica,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Habia rubica,1
Monstera adansonii,11,8,8.5,7.25,Habia rubica,1
Ossaea angustifolia,5.2,4.2,NA,NA,Habia rubica,0.5
Ossaea marginata,4.9,4.4,NA,NA,Habia rubica,0.5
Psychotria carthagenensis,5.2,5.5,5,4.3,Habia rubica,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Habia rubica,0.5
Psychotria leiocarpa,8,9,3,2.4,Habia rubica,0.5
Psychotria myriantha,5.4,6.2,4,3,Habia rubica,0.5
Psychotria nuda,8.7,7,NA,NA,Habia rubica,0.5
Psychotria suterella,11,13,4,3,Habia rubica,0.5
Psychotria vellosiana,0.4,3.7,NA,NA,Habia rubica,0.5
Rhipsalis baccifera,5.84,5.79,1.09,0.58,Habia rubica,0.5
Rhipsalis floccosa,6,5,1.2,0.6,Habia rubica,0.5
Rhipsalis pachyptera,7.62,8.36,1.05,0.52,Habia rubica,0.5
Rhipsalis puniceodiscus,5.94,7.05,1.47,0.71,Habia rubica,0.5
Rhipsalis teres,4.51,4.49,1.02,0.56,Habia rubica,0.5
Rubus rosifolius,15,12.6,1.5,1,Habia rubica,1
Rubus urticifolius,10,8,2.2,1.4,Habia rubica,0.5
Sloanea guianensis,20,20,10,6,Habia rubica,1
Sloanea monosperma,12,10,7,4,Habia rubica,0.5
Trema micrantha,3.5,2.7,2,1.7,Habia rubica,1
Trichilia elegans,14.6,6.5,7.6,6.9,Habia rubica,0.5
Trichilia lepidota,18,13,6,3.5,Habia rubica,0.5
Trichilia pseudostipularis,15.35,6.3,10.3,5.7,Habia rubica,0.5
Trichilia silvatica,8.4,5.1,7,3,Habia rubica,0.5
Urera baccifera,5,4.3,2,2,Habia rubica,1
Urera caracasana,4.7,3.5,NA,NA,Habia rubica,0.5
Urera mitis,3.5,2.5,1,0.8,Habia rubica,0.5
Xylopia brasiliensis,26,4.5,5.8,4.1,Habia rubica,1
Xylopia langsdorfiana,8,6,8.6,6.12,Habia rubica,0.5
Miconia brasiliensis,2.6,3,NA,1,Haplospiza unicolor,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Haplospiza unicolor,0.5
Miconia chartacea,3.3,4,3.3,3.1,Haplospiza unicolor,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Haplospiza unicolor,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Haplospiza unicolor,0.5
Miconia inconspicua,3.6,3,1,0.85,Haplospiza unicolor,0.5
Miconia latecrenata,1.9,2.3,1,1,Haplospiza unicolor,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Haplospiza unicolor,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Haplospiza unicolor,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Haplospiza unicolor,0.5
Miconia staminea,6.3,6,NA,NA,Haplospiza unicolor,0.5
Miconia theizans,5,4,0.7,0.4,Haplospiza unicolor,1
Miconia tristis,3.4,3.6,1,1,Haplospiza unicolor,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Haplospiza unicolor,0.5
Guapira opposita,6.95,6.53,6.1,3.84,Hemithraupis flavicollis,1
Miconia brasiliensis,2.6,3,NA,1,Hemithraupis flavicollis,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Hemithraupis flavicollis,0.5
Miconia chartacea,3.3,4,3.3,3.1,Hemithraupis flavicollis,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Hemithraupis flavicollis,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Hemithraupis flavicollis,1
Miconia inconspicua,3.6,3,1,0.85,Hemithraupis flavicollis,0.5
Miconia latecrenata,1.9,2.3,1,1,Hemithraupis flavicollis,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Hemithraupis flavicollis,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Hemithraupis flavicollis,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Hemithraupis flavicollis,0.5
Miconia staminea,6.3,6,NA,NA,Hemithraupis flavicollis,0.5
Miconia theizans,5,4,0.7,0.4,Hemithraupis flavicollis,0.5
Miconia tristis,3.4,3.6,1,1,Hemithraupis flavicollis,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Hemithraupis flavicollis,0.5
Pera glabrata,4.2,2.3,4,2.6,Hemithraupis flavicollis,1
Xylopia brasiliensis,26,4.5,5.8,4.1,Hemithraupis flavicollis,0.5
Xylopia langsdorfiana,8,6,8.6,6.12,Hemithraupis flavicollis,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Hemithraupis ruficapilla,0.5
Casearia aculeata,7.7,7.5,NA,NA,Hemithraupis ruficapilla,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Hemithraupis ruficapilla,0.5
Casearia pauciflora,29,28,8,7,Hemithraupis ruficapilla,0.5
Casearia sylvestris,3,3,2,1.3,Hemithraupis ruficapilla,1
Cupania oblongifolia,28.29,11,11.8,9.7,Hemithraupis ruficapilla,0.5
Cupania racemosa,23,27,17,9.3,Hemithraupis ruficapilla,0.5
Eriobotrya japonica,30,23,13,11,Hemithraupis ruficapilla,Eriobotrya japonica
Miconia brasiliensis,2.6,3,NA,1,Hemithraupis ruficapilla,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Hemithraupis ruficapilla,0.5
Miconia chartacea,3.3,4,3.3,3.1,Hemithraupis ruficapilla,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Hemithraupis ruficapilla,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Hemithraupis ruficapilla,1
Miconia inconspicua,3.6,3,1,0.85,Hemithraupis ruficapilla,0.5
Miconia latecrenata,1.9,2.3,1,1,Hemithraupis ruficapilla,1
Miconia prasina,3.2,3.4,0.6,0.61,Hemithraupis ruficapilla,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Hemithraupis ruficapilla,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Hemithraupis ruficapilla,0.5
Miconia staminea,6.3,6,NA,NA,Hemithraupis ruficapilla,0.5
Miconia theizans,5,4,0.7,0.4,Hemithraupis ruficapilla,0.5
Miconia tristis,3.4,3.6,1,1,Hemithraupis ruficapilla,1
Miconia valtherii,4.4,3.9,1.1,0.9,Hemithraupis ruficapilla,1
Myrsine ferruginea,3,NA,NA,NA,Hemithraupis ruficapilla,0.5
Myrsine venosa,4.9,5,NA,4.2,Hemithraupis ruficapilla,0.5
Tetrorchidium rubrivenium,10,12,6,4.5,Hemithraupis ruficapilla,1
Trema micrantha,3.5,2.7,2,1.7,Hemithraupis ruficapilla,1
Trichilia elegans,14.6,6.5,7.6,6.9,Hemithraupis ruficapilla,0.5
Trichilia lepidota,18,13,6,3.5,Hemithraupis ruficapilla,0.5
Trichilia pseudostipularis,15.35,6.3,10.3,5.7,Hemithraupis ruficapilla,0.5
Trichilia silvatica,8.4,5.1,7,3,Hemithraupis ruficapilla,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Hylophilus thoracicus,0.5
Cecropia glaziovii,230,12.62,2,0.62,Icterus cayenensis,0.5
Cecropia hololeuca,230,20.58,2.9,0.98,Icterus cayenensis,0.5
Cecropia pachystachya,200,10,2,0.61,Icterus cayenensis,1
Cordia corymbosa,4,3.4,NA,NA,Icterus cayenensis,0.5
Cordia magnoliifolia,9,10,7.5,5.5,Icterus cayenensis,0.5
Cordia superba,20,22,15,10,Icterus cayenensis,0.5
Cordia trichoclada,20,18,13,9,Icterus cayenensis,0.5
Eugenia adenantha,12.6,9,NA,NA,Icterus cayenensis,0.5
Eugenia brasiliensis,9.58,13.05,7.1,4.45,Icterus cayenensis,1
Eugenia cerasiflora,16,11,13,8.5,Icterus cayenensis,0.5
Eugenia glazioviana,12,11,10,9.5,Icterus cayenensis,0.5
Eugenia involucrata,22,15,12,7,Icterus cayenensis,0.5
Eugenia itapemirimensis,36.1,26.7,10,8.3,Icterus cayenensis,0.5
Eugenia macrantha,35,34.6,8.91,7.76,Icterus cayenensis,0.5
Eugenia mandiocensis,32.2,22.3,NA,NA,Icterus cayenensis,0.5
Eugenia neoglomerata,20.7,19.13,16.4,14.46,Icterus cayenensis,0.5
Eugenia prasina,18.2,9.7,18.9,9.41,Icterus cayenensis,0.5
Eugenia sprengelli,5,8,4,7,Icterus cayenensis,0.5
Eugenia stictosepala,31,18,26,16,Icterus cayenensis,0.5
Eugenia subavenia,9.9,6.9,NA,NA,Icterus cayenensis,0.5
Eugenia supraaxillaris,18.7,16.4,NA,NA,Icterus cayenensis,0.5
Trema micrantha,3.5,2.7,2,1.7,Icterus cayenensis,1
Alchornea triplinervia,5.8,4.7,5.8,4.1,Ilicura militaris,1
Erythroxylum citrifolium,8,3.7,NA,NA,Ilicura militaris,0.5
Erythroxylum cuspidifolium,9.4,5.4,NA,NA,Ilicura militaris,0.5
Erythroxylum pulchrum,15.54,7.18,11.1,6.54,Ilicura militaris,0.5
Ficus catappifolia,32,23,1,0.5,Ilicura militaris,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Ilicura militaris,0.5
Ficus cyclophylla,14,12,1.4,1.2,Ilicura militaris,0.5
Ficus enormis,14,14,1.2,1,Ilicura militaris,0.5
Ficus glabra,16.6,18,1,0.5,Ilicura militaris,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Ilicura militaris,0.5
Ficus hirsuta,7,6,0.5,0.3,Ilicura militaris,0.5
Ficus insipida,17,20,2.8,1.7,Ilicura militaris,0.5
Ficus microcarpa,10,8,0.9,0.7,Ilicura militaris,0.5
Ficus organensis,8,7,0.7,0.7,Ilicura militaris,0.5
Ficus pertusa,8,8,1.1,1.1,Ilicura militaris,0.5
Ficus pulchella,17.93,18,0.8,0.7,Ilicura militaris,0.5
Leandra acutiflora,6.4,5.5,NA,NA,Ilicura militaris,0.5
Leandra dasytricha,5.1,NA,NA,NA,Ilicura militaris,0.5
Leandra melastomoides,9.3,7.5,NA,1,Ilicura militaris,0.5
Leandra variabilis,4.2,3.2,NA,1,Ilicura militaris,1
Miconia brasiliensis,2.6,3,NA,1,Ilicura militaris,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Ilicura militaris,0.5
Miconia chartacea,3.3,4,3.3,3.1,Ilicura militaris,1
Miconia cinerascens,3.7,4.5,1.4,1.3,Ilicura militaris,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Ilicura militaris,0.5
Miconia inconspicua,3.6,3,1,0.85,Ilicura militaris,0.5
Miconia latecrenata,1.9,2.3,1,1,Ilicura militaris,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Ilicura militaris,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Ilicura militaris,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Ilicura militaris,0.5
Miconia staminea,6.3,6,NA,NA,Ilicura militaris,0.5
Miconia theizans,5,4,0.7,0.4,Ilicura militaris,0.5
Miconia tristis,3.4,3.6,1,1,Ilicura militaris,1
Miconia valtherii,4.4,3.9,1.1,0.9,Ilicura militaris,0.5
Myrsine ferruginea,3,NA,NA,NA,Ilicura militaris,0.5
Myrsine venosa,4.9,5,NA,4.2,Ilicura militaris,0.75
Psychotria carthagenensis,5.2,5.5,5,4.3,Ilicura militaris,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Ilicura militaris,0.5
Psychotria leiocarpa,8,9,3,2.4,Ilicura militaris,0.5
Psychotria myriantha,5.4,6.2,4,3,Ilicura militaris,0.5
Psychotria nuda,8.7,7,NA,NA,Ilicura militaris,0.5
Psychotria suterella,11,13,4,3,Ilicura militaris,0.5
Psychotria vellosiana,0.4,3.7,NA,NA,Ilicura militaris,1
Alchornea triplinervia,5.8,4.7,5.8,4.1,Knipolegus nigerrimus,1
Anthurium scandens,6,6,2,1,Knipolegus nigerrimus,0.5
Miconia brasiliensis,2.6,3,NA,1,Knipolegus nigerrimus,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Knipolegus nigerrimus,0.5
Miconia chartacea,3.3,4,3.3,3.1,Knipolegus nigerrimus,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Knipolegus nigerrimus,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Knipolegus nigerrimus,0.5
Miconia inconspicua,3.6,3,1,0.85,Knipolegus nigerrimus,0.5
Miconia latecrenata,1.9,2.3,1,1,Knipolegus nigerrimus,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Knipolegus nigerrimus,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Knipolegus nigerrimus,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Knipolegus nigerrimus,0.5
Miconia staminea,6.3,6,NA,NA,Knipolegus nigerrimus,0.5
Miconia theizans,5,4,0.7,0.4,Knipolegus nigerrimus,0.5
Miconia tristis,3.4,3.6,1,1,Knipolegus nigerrimus,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Knipolegus nigerrimus,0.5
Miconia brasiliensis,2.6,3,NA,1,Laniisoma elegans,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Laniisoma elegans,0.5
Miconia chartacea,3.3,4,3.3,3.1,Laniisoma elegans,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Laniisoma elegans,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Laniisoma elegans,0.5
Miconia inconspicua,3.6,3,1,0.85,Laniisoma elegans,0.5
Miconia latecrenata,1.9,2.3,1,1,Laniisoma elegans,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Laniisoma elegans,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Laniisoma elegans,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Laniisoma elegans,0.5
Miconia staminea,6.3,6,NA,NA,Laniisoma elegans,0.5
Miconia theizans,5,4,0.7,0.4,Laniisoma elegans,0.5
Miconia tristis,3.4,3.6,1,1,Laniisoma elegans,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Laniisoma elegans,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Lathrotriccus euleri,1
Myrsine ferruginea,3,NA,NA,NA,Lathrotriccus euleri,0.5
Myrsine venosa,4.9,5,NA,4.2,Lathrotriccus euleri,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Leptopogon amaurocephalus,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Leptotila rufaxilla,0.5
Aegiphila sellowiana,8,4,4,2,Leptotila rufaxilla,0.5
Tapirira guianensis,16,11.6,6.9,8.15,Leptotila rufaxilla,1
Trichilia elegans,14.6,6.5,7.6,6.9,Leptotila rufaxilla,0.5
Trichilia lepidota,18,13,6,3.5,Leptotila rufaxilla,0.5
Trichilia pseudostipularis,15.35,6.3,10.3,5.7,Leptotila rufaxilla,0.5
Trichilia silvatica,8.4,5.1,7,3,Leptotila rufaxilla,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Leptotila verreauxi,0.5
Aegiphila sellowiana,8,4,4,2,Leptotila verreauxi,0.5
Tapirira guianensis,16,11.6,6.9,8.15,Leptotila verreauxi,0.75
Trichilia elegans,14.6,6.5,7.6,6.9,Leptotila verreauxi,0.5
Trichilia lepidota,18,13,6,3.5,Leptotila verreauxi,0.5
Trichilia pseudostipularis,15.35,6.3,10.3,5.7,Leptotila verreauxi,0.5
Trichilia silvatica,8.4,5.1,7,3,Leptotila verreauxi,0.5
Cecropia glaziovii,230,12.62,2,0.62,Lonchophylla mordax,0.5
Cecropia hololeuca,230,20.58,2.9,0.98,Lonchophylla mordax,0.5
Cecropia pachystachya,200,10,2,0.61,Lonchophylla mordax,1
Piper aduncum,166,6,0.84,0.34,Lonchophylla mordax,1
Piper arboreum,120,10,NA,NA,Lonchophylla mordax,0.5
Piper gaudichaudianum,100,6,1,0.8,Lonchophylla mordax,0.5
Guarea guidonia,16,12,13,10,Machaeropterus regulus,1
Miconia brasiliensis,2.6,3,NA,1,Machaeropterus regulus,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Machaeropterus regulus,0.5
Miconia chartacea,3.3,4,3.3,3.1,Machaeropterus regulus,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Machaeropterus regulus,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Machaeropterus regulus,1
Miconia inconspicua,3.6,3,1,0.85,Machaeropterus regulus,0.5
Miconia latecrenata,1.9,2.3,1,1,Machaeropterus regulus,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Machaeropterus regulus,1
